time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
871.97485258975,0,11.47005612763,9.6648400488151,473.00011156819,0,0
960.17233784872,0,11.47453625277,9.6648415750955,473.00011129595,0,0
1057.1895716336,0,11.478640877784,9.6648432254772,473.00011052052,0,0
1163.908528797,0,11.48251367863,9.6648450075312,473.00010925482,0,0
1281.2993816767,0,11.486321970089,9.6648469286241,473.00010751754,0,0
1410.4293198443,0,11.490399177349,9.6648489958745,473.00010533417,0,0
1552.4722518287,0,11.495135389927,9.6648512161621,473.00010273733,0,0
1708.7194770116,0,11.50064545778,9.664853598609,473.00009976634,0,0
1880.5914247128,0,11.506968628961,9.6648561458557,473.00009645736,0,0
2069.6505671841,0,11.51449189942,9.6648588651706,473.00009285749,0,0
2277.6156239025,0,11.52350139982,9.6648617613273,473.00008901279,0,0
2506.3771862927,0,11.533715902968,9.66486484154,473.00008496367,0,0
2758.014904922,0,11.54447689513,9.6648681051243,473.00008076517,0,0
3034.8163954142,0,11.55503133714,9.6648715564765,473.00007644765,0,0
3339.2980349556,0,11.564703051291,9.6648751968578,473.00007236177,0,0
3674.2278384512,0,11.573155730737,9.6648790307846,473.00006691609,0,0
4042.6506222963,0,11.580421934009,9.6648832954089,473.00000076473,0,0
4447.9156845259,0,11.587102836333,9.6650587299284,473.0091181793,0,0
4893.7072529785,0,11.594177585519,9.8886798127584,474.93978721042,0,0
5384.0779782764,0,11.603112547142,10.433567449543,475.67157270637,0,0
5653.7818771902,2772521.0967982,11.608900077674,10.600006416005,475.4561309309,3.1999138612986,0.062472073649261
5923.485776104,50715668.966197,11.616215569132,10.600071096842,473.51696038811,59.122488899033,0.68712917186895
6220.1600649092,22324321.535132,11.626228093149,10.600128944966,471.95202094056,26.237488641224,1.2386353421918
6546.5017825949,246165734.44031,11.639229556644,10.600189713935,470.3931427733,291.685575569,1.8111863979523
6905.4776720492,395799323.62294,11.655215985728,10.600257471535,468.77533169986,473.00388247,2.4421818269755
7300.3511504489,598127851.23294,11.673916205451,10.600333651766,467.03396020745,721.43550740444,3.1424356383133
7734.7119766886,67761436.513727,11.694798734499,10.600418149203,465.16912424358,82.550294382017,3.9080283773731
8212.5088855523,880988737.4688,11.717037588527,10.600508740687,463.28035953311,1084.2552520319,4.7171400739179
8738.0854853023,1238704199.9212,11.739661252342,10.600602430942,461.51702336851,1539.1974540724,5.54397921637
