time,J_out,P_in,P_out,TK_out,kg_out,kg_per_s
7965.3223052835,240318601.33095,11.913235214088,9.7953918490852,387.99789825468,491.62869795105,1.9366204499657
8244.5673002208,293516776.00361,11.924925769929,9.8082635285211,385.03813956469,616.16138653626,2.2065261605659
8551.7367946519,360330137.59359,11.938538771427,9.8228669472213,382.6640587753,772.607485385,2.5152480939427
8889.623238526,444085727.593,11.954177152136,9.8393175169525,380.79936338266,968.45722581685,2.8662210141156
9261.2983267876,548629370.28724,11.97186984908,9.8576751602971,379.3634581283,1212.3690885027,3.2619056988008
9670.1409238753,678331744.79455,11.991548751424,9.8779284324672,378.28431948752,1514.1081648242,3.7034012003876
10119.867780672,837988428.92916,12.01302639212,9.8999660122306,377.50178077639,1884.2340069471,4.1897297848054
10614.567323148,1032490816.5352,12.035979102051,9.9235379135542,376.96076971138,2333.4047117815,4.7168119463019
11158.736819872,1266179372.8968,12.059943594343,9.9482201852665,376.59935927225,2871.2630045248,5.2764129959721
11757.323266268,1542097059.332,12.084335279729,9.9734161288674,376.34699453382,3505.2224955573,5.8558333832332
12086.545811786,892148403.49871,12.097190506579,9.9867542769274,376.2367978727,2029.962674629,6.1659284950726
12415.768357303,933985282.36703,12.109341419705,9.9993504272206,376.13984813924,2127.0810188753,6.4609214886224
12777.913157373,1074867016.561,12.121817807451,10.012277759045,376.03985250789,2450.2169202052,6.7658486874144
13176.27243745,1235538111.2133,12.134470019528,10.025384359082,375.93301654299,2819.2943586249,7.0772654225168
13395.370041492,695016142.49519,12.141127747484,10.03229135393,375.87536106853,1586.7698299628,7.2422965869476
13614.467645534,709759562.71076,12.147466721082,10.038862514069,375.81826192244,1621.2990016117,7.3998937993856
13855.47500998,797616922.40887,12.154059001426,10.045692249298,375.75629076569,1823.052881315,7.5643036282438
14120.583110871,896569662.22061,12.160864796922,10.052740223888,375.68949912175,2050.5108127726,7.734621484146
14412.202021851,1007865140.3229,12.167834708038,10.05995483766,375.61798930512,2306.6053095482,7.9096561392266
14572.592422891,560633959.80072,12.171521515976,10.063773275749,375.57942351619,1283.536805512,8.0025786904758
14732.98282393,566687411.49023,12.175059870614,10.06743559606,375.54147504868,1297.8608954393,8.0918863412737
14909.412265073,630348811.14839,12.178776963516,10.071280254154,375.50042882683,1444.2222451336,8.1858347211077
15103.48465033,701417582.62429,12.182661560185,10.075295204758,375.45605934163,1607.7261246887,8.2841570816868
15316.964274113,780733351.41135,12.186698043426,10.079463514827,375.4081150072,1790.3394472021,8.3864652535746
15551.791860274,869211552.43532,12.19086594877,10.083763038648,375.35634028417,1994.212208986,8.4922399518107
15810.102205051,967845148.94311,12.195139675215,10.088166269174,375.30052416988,2221.6821254411,8.6008252102935
16094.243584307,1077706159.7137,12.199488383755,10.092640456015,375.24058318228,2475.2775368114,8.7114293007947
16250.521342897,596525181.61796,12.201779454214,10.094996849314,375.20814685167,1370.5230669891,8.7697896319452
16406.799101487,600142006.91861,12.203971539998,10.097249259815,375.17621460297,1379.2520327323,8.8256450897015
16578.704635937,664315530.82346,12.206267656239,10.099606262234,375.14174979823,1527.2376489776,8.8841680046518
16767.800723831,735505656.72535,12.208660458424,10.102060200758,375.10472797248,1691.4981668976,8.945178008353
16975.806420515,814469864.16218,12.211140046712,10.104600829859,375.06520197414,1873.8046769975,9.0084296097267
17204.612686867,902038116.12612,12.213693737708,10.107215121925,375.02331685641,2076.0981026037,9.0736068364883
17456.299579854,999117174.12286,12.216305919395,10.10988714665,374.97931839325,2300.4986407141,9.140319598725
17733.15516214,1106694695.8394,12.218958013697,10.112598033679,374.93355561962,2549.3144671787,9.2081020947045
17885.425732397,610899372.49573,12.220353152907,10.114023964752,374.90922683709,1407.5580926924,9.2437960290935
18037.696302655,613016945.79217,12.221686667785,10.115386328567,374.88571964187,1412.7548797991,9.2779246666753
18205.193929938,676754321.7727,12.22308218751,10.116811485419,374.8608557536,1560.0148547986,9.3136534535046
18389.441319949,747217475.5407,12.224535216373,10.118294899963,374.83470397952,1722.8738025774,9.3508722292956
