time,left,mid,right
504,0.99584354152867,0.98401702151958,0.97841308043958
505,0.99590309260188,0.98424601539215,0.97872236398849
506,0.99596179046547,0.98447172838726,0.97902721632092
507,0.9960196473437,0.98469420751124,0.97932770092451
508,0.99607667528565,0.9849134990969,0.97962388037727
509,0.99613288616779,0.98512964881327,0.97991581636065
510,0.99618829169644,0.98534270167502,0.98020356967236
511,0.99624290341019,0.98555270205191,0.98048720023903
512,0.99629673268229,0.98575969367799,0.98076676712871
513,0.99634979072309,0.9859637196607,0.98104232856317
514,0.99640208858228,0.98616482248988,0.98131394192999
515,0.99645363715126,0.98636304404662,0.98158166379456
516,0.99650444716538,0.98655842561192,0.98184554991184
517,0.99655452920618,0.98675100787537,0.98210565523795
518,0.99660389370359,0.98694083094357,0.98236203394164
519,0.99665255093812,0.9871279343485,0.98261473941557
520,0.99670051104298,0.98731235705575,0.98286382428742
521,0.9967477840062,0.98749413747265,0.98310934043086
522,0.99679437967269,0.98767331345624,0.98335133897635
523,0.99684030774633,0.98784992232116,0.98358987032176
524,0.99688557779197,0.98802400084744,0.98382498414293
525,0.99693019923741,0.98819558528817,0.98405672940395
526,0.99697418137538,0.98836471137699,0.98428515436739
527,0.99701753336545,0.98853141433561,0.98451030660434
528,0.997060264236,0.98869572888106,0.98473223300434
529,0.99710238288602,0.98885768923302,0.9849509797851
530,0.99714389808702,0.98901732912085,0.98516659250218
531,0.99718481848482,0.98917468179067,0.98537911605844
532,0.99722515260139,0.98932978001229,0.98558859471337
533,0.99726490883658,0.98948265608598,0.9857950720924
534,0.99730409546992,0.98963334184927,0.98599859119586
535,0.99734272066228,0.98978186868351,0.98619919440803
536,0.99738079245765,0.98992826752045,0.98639692350595
537,0.99741831878473,0.99007256884869,0.98659181966807
538,0.99745530745864,0.99021480271997,0.98678392348288
539,0.99749176618254,0.9903549987555,0.98697327495735
540,0.99752770254921,0.99049318615208,0.98715991352524
541,0.99756312404265,0.9906293936882,0.98734387805535
542,0.99759803803963,0.99076364973004,0.98752520685956
543,0.99763245181124,0.99089598223735,0.98770393770088
544,0.99766637252438,0.99102641876931,0.98788010780125
545,0.99769980724329,0.99115498649023,0.98805375384932
546,0.99773276293097,0.99128171217523,0.98822491200811
547,0.99776524645067,0.99140662221585,0.98839361792248
548,0.99779726456733,0.99152974262545,0.98855990672663
549,0.99782882394893,0.99165109904472,0.98872381305137
550,0.99785993116793,0.991770716747,0.98888537103133
551,0.99789059270264,0.9918886206435,0.9890446143121
552,0.99792081493853,0.99200483528853,0.98920157605719
553,0.99795060416959,0.9921193848846,0.98935628895499
554,0.99797996659964,0.99223229328748,0.98950878522554
555,0.99800890834361,0.99234358401112,0.98965909662726
556,0.99803743542881,0.99245328023259,0.98980725446355
557,0.99806555379623,0.99256140479691,0.9899532895893
558,0.9980932693017,0.99266798022176,0.99009723241737
559,0.99812058771716,0.99277302870222,0.99023911292485
560,0.99814751473188,0.99287657211538,0.99037896065934
561,0.99817405595359,0.99297863202488,0.99051680474512
562,0.99820021690968,0.9930792296854,0.99065267388918
563,0.99822600304836,0.99317838604711,0.99078659638722
564,0.99825141973977,0.99327612176002,0.99091860012953
565,0.99827647227712,0.99337245717827,0.99104871260682
566,0.99830116587776,0.99346741236438,0.99117696091592
567,0.99832550568433,0.99356100709345,0.99130337176544
568,0.99834949676574,0.99365326085722,0.99142797148133
569,0.99837314411831,0.99374419286818,0.99155078601233
570,0.99839645266677,0.99383382206357,0.99167184093545
571,0.99841942726528,0.99392216710928,0.99179116146121
572,0.99844207269848,0.9940092464038,0.99190877243894
573,0.99846439368241,0.994095078082,0.99202469836196
574,0.9984863948656,0.99417968001892,0.99213896337265
575,0.99850808082993,0.9942630698335,0.9922515912675
576,0.99852945609166,0.99434526489227,0.99236260550205
577,0.99855052510235,0.9944262823129,0.99247202919579
578,0.99857129224975,0.99450613896786,0.99257988513698
579,0.99859176185877,0.99458485148785,0.99268619578736
580,0.99861193819235,0.99466243626529,0.99279098328687
581,0.99863182545235,0.99473890945776,0.99289426945825
582,0.99865142778044,0.99481428699134,0.99299607581156
583,0.99867074925894,0.99488858456393,0.99309642354869
584,0.99868979391167,0.99496181764852,0.99319533356774
585,0.99870856570482,0.9950340014964,0.99329282646744
586,0.99872706854775,0.99510515114037,0.99338892255134
587,0.99874530629381,0.99517528139784,0.99348364183215
588,0.99876328274113,0.99524440687392,0.9935770040358
589,0.99878100163343,0.99531254196449,0.99366902860563
590,0.9987984666608,0.99537970085914,0.9937597347064
591,0.99881568146045,0.99544589754419,0.99384914122829
592,0.99883264961748,0.99551114580556,0.99393726679083
593,0.99884937466564,0.99557545923166,0.99402412974679
594,0.99886586008802,0.9956388512162,0.99410974818598
595,0.99888210931784,0.99570133496102,0.99419413993905
596,0.9988981257391,0.99576292347879,0.99427732258117
597,0.99891391268735,0.99582362959574,0.9943593134357
598,0.99892947345031,0.99588346595436,0.99444012957781
599,0.99894481126864,0.99594244501598,0.99451978783803
600,0.99895992933654,0.9960005790634,0.99459830480575
601,0.99897483080245,0.99605788020344,0.99467569683268
602,0.99898951876971,0.99611436036948,0.99475198003624
603,0.99900399629718,0.99617003132389,0.99482717030295
604,0.99901826639992,0.99622490466055,0.99490128329171
605,0.99903233204977,0.9962789918072,0.99497433443706
606,0.99904619617601,0.99633230402788,0.99504633895241
607,0.99905986166593,0.99638485242523,0.99511731183322
608,0.99907333136547,0.99643664794282,0.99518726786007
609,0.99908660807978,0.99648770136743,0.99525622160181
610,0.99909969457384,0.99653802333129,0.99532418741853
611,0.999112593573,0.9965876243143,0.99539117946458
612,0.99912530776357,0.99663651464621,0.99545721169152
613,0.99913783979337,0.99668470450879,0.99552229785104
614,0.99915019227227,0.99673220393789,0.99558645149778
615,0.99916236777277,0.99677902282562,0.99564968599218
616,0.9991743688305,0.99682517092232,0.99571201450327
617,0.99918619794477,0.99687065783868,0.9957734500114
618,0.99919785757908,0.99691549304764,0.99583400531095
619,0.99920935016161,0.99695968588647,0.99589369301296
620,0.99922067808578,0.99700324555862,0.99595252554784
